MONTH,Component,Consumption,QTDE_SALDO,QTDE_ENTREGUE,VALOR_FATURADO,VALOR_SALDO,VALOR_PEDIDO
2021-01-01,T0911,1031.0,0,1031,82324.92,0.0,82324.92
2021-01-01,T0911L,307.0,131,176,27901.61,20269.3,48170.93
2021-01-01,T0912L,3156.0,3155,1,138.89,439184.86,439323.76
2021-01-01,T0914L,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0922,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0922L,307.0,131,176,27901.61,20269.3,48170.93
2021-01-01,T0923,108.0,108,0,0.0,10625.57,10625.57
2021-01-01,T0924,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0925,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0926,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0927,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0928L,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0929,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0930L,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0931,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0932,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0933L,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0934L,0.0,0,0,0.0,0.0,0.0
2021-01-01,T0935L,0.0,0,0,0.0,0.0,0.0
2021-01-01,T3133,0.0,0,0,0.0,0.0,0.0
2021-01-01,T3137,0.0,0,0,0.0,0.0,0.0
2021-01-01,T3142,0.0,0,0,0.0,0.0,0.0
2021-01-01,T3146,0.0,0,0,0.0,0.0,0.0
2021-01-01,T3147,1.0,0,1,14.12,0.0,14.12
2021-01-01,T3148,0.0,0,0,0.0,0.0,0.0
2021-01-01,T3153,0.0,0,0,0.0,0.0,0.0
2021-01-01,T3154,0.0,0,0,0.0,0.0,0.0
2021-01-01,T3156,1.0,0,1,14.12,0.0,14.12
2021-01-01,T3164,0.0,0,0,0.0,0.0,0.0
2021-01-01,T3168,0.0,0,0,0.0,0.0,0.0
